comment_id,emotional_entropy,valence_mixing,multi_label_count,example_very_unclear,unclear_fraction,annotator_disagreement_score
eczazk6,0.0,0.0,1,False,0.0,0.0
eczb07q,0.0,0.0,0,False,0.0,0.0
eczb4bm,0.0,0.0,1,False,0.0,0.0
eczb527,1.0,1.0,2,False,0.0,0.074074074074074
eczb6r7,2.0,1.5,4,False,0.0,0.1481481481481481
eczb770,1.0,0.0,2,False,0.0,0.074074074074074
eczbbmd,1.0,0.0,2,False,0.0,0.037037037037037
eczbbwt,1.5849625,1.5849625,3,False,0.0,0.1111111111111111
eczbdg4,1.0,0.0,2,False,0.0,0.0
eczbe89,2.3219281,0.7219281,5,False,0.0,0.1851851851851851
eczbfxj,1.0,0.0,2,False,0.0,0.074074074074074
eczbh7y,1.5849625,0.0,3,False,0.0,0.074074074074074
eczbjn8,1.5849625,0.0,3,False,0.0,0.1111111111111111
eczbonk,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczbp9a,1.5849625,0.0,3,False,0.0,0.037037037037037
eczbpfi,2.0,0.0,4,False,0.0,0.1481481481481481
eczbrwg,0.0,0.0,1,False,0.0,0.037037037037037
eczbt6t,1.0,1.0,2,False,0.0,0.074074074074074
eczbtwc,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczbupd,1.0,1.0,2,False,0.0,0.074074074074074
eczbuvi,1.0,1.0,2,False,0.0,0.074074074074074
eczbv4d,2.0,1.5,4,False,0.0,0.1481481481481481
eczbvy8,2.0,0.0,4,False,0.0,0.1111111111111111
eczbz1n,1.0,0.0,2,False,0.0,0.074074074074074
eczc1f1,1.0,1.0,2,False,0.0,0.037037037037037
eczc1l2,1.5849625,1.5849625,3,False,0.0,0.1111111111111111
eczc3pt,2.3219281,0.0,5,False,0.0,0.1851851851851851
eczc44a,2.8073549,0.5916728,7,False,0.0,0.2592592592592592
eczc4q8,1.0,0.0,2,False,0.0,0.074074074074074
eczc67g,0.0,0.0,1,False,0.0,0.037037037037037
eczca53,0.0,0.0,1,False,0.0,0.037037037037037
eczcdr0,2.0,0.0,4,False,0.0,0.1481481481481481
eczcf47,2.8073549,0.5916728,7,False,0.0,0.2592592592592592
eczci86,2.3219281,0.0,5,False,0.0,0.1851851851851851
eczcky9,2.3219281,0.0,5,False,0.0,0.1851851851851851
eczcn1f,0.0,0.0,1,False,0.0,0.037037037037037
eczcnu6,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczcp10,1.0,0.0,2,False,0.0,0.074074074074074
eczcr4g,2.0,1.0,4,False,0.0,0.1481481481481481
eczcsct,2.0,0.0,4,False,0.0,0.1481481481481481
eczctf2,2.0,0.8112781,4,False,0.0,0.1111111111111111
eczcucn,1.0,0.0,2,False,0.0,0.074074074074074
eczcvgx,0.0,0.0,1,False,0.0,0.037037037037037
eczcz6m,0.0,0.0,1,False,0.0,0.037037037037037
eczd0d6,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczd1ls,0.0,0.0,0,False,0.0,0.0
eczd20f,1.0,0.0,2,False,0.0,0.037037037037037
eczd31f,0.0,0.0,1,False,0.0,0.037037037037037
eczd32o,0.0,0.0,1,False,0.0,0.037037037037037
eczd40x,1.0,0.0,2,False,0.0,0.037037037037037
eczdac4,0.0,0.0,1,False,0.0,0.0
eczdadb,1.5849625,0.0,3,False,0.0,0.1111111111111111
eczdawv,2.5849625,0.6500224,6,False,0.0,0.2222222222222222
eczdbay,2.0,1.0,4,False,0.0,0.1481481481481481
eczdhfb,0.0,0.0,1,False,0.0,0.037037037037037
eczdjqu,1.0,0.0,2,False,0.0,0.074074074074074
eczdkqb,2.0,1.5,4,False,0.0,0.1481481481481481
eczdmij,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczdo4q,0.0,0.0,1,False,0.0,0.037037037037037
eczdqqq,0.0,0.0,1,False,0.0,0.0
eczdt62,1.0,0.0,2,False,0.0,0.074074074074074
eczdu8p,1.5849625,0.9182958,3,False,0.0,0.074074074074074
eczdv3l,0.0,0.0,1,False,0.0,0.037037037037037
eczdvun,1.0,0.0,2,False,0.0,0.037037037037037
eczdwx9,1.5849625,0.0,3,False,0.0,0.1111111111111111
eczdwyd,0.0,0.0,1,False,0.0,0.037037037037037
eczdx1e,2.0,0.8112781,4,False,0.0,0.1481481481481481
eczdygs,1.0,0.0,2,False,0.0,0.074074074074074
eczdzjj,2.0,1.5,4,False,0.0,0.1481481481481481
ecze0mb,2.0,1.5,4,False,0.0,0.1481481481481481
ecze0xp,0.0,0.0,1,False,0.0,0.037037037037037
ecze3hg,1.0,0.0,2,False,0.0,0.074074074074074
ecze4ws,1.0,0.0,2,False,0.0,0.037037037037037
ecze4xa,0.0,0.0,1,False,0.0,0.037037037037037
ecze59x,1.0,0.0,2,False,0.0,0.074074074074074
ecze76e,0.0,0.0,1,False,0.0,0.037037037037037
ecze7gl,0.0,0.0,1,False,0.0,0.037037037037037
ecze7nx,0.0,0.0,1,False,0.0,0.037037037037037
ecze9jy,0.0,0.0,1,False,0.0,0.037037037037037
eczee63,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczegcw,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczek8d,2.3219281,0.0,5,False,0.0,0.1851851851851851
eczemge,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczemh0,0.0,0.0,1,False,0.0,0.0
eczeo1v,0.0,0.0,1,False,0.0,0.0
eczep0r,1.0,0.0,2,False,0.0,0.074074074074074
eczerhp,0.0,0.0,1,False,0.0,0.037037037037037
eczeuct,2.0,0.8112781,4,False,0.0,0.1481481481481481
eczex23,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczez7j,0.0,0.0,1,False,0.0,0.037037037037037
eczezzv,2.3219281,1.5219281,5,False,0.0,0.1851851851851851
eczf05d,1.0,1.0,2,False,0.0,0.074074074074074
eczf0cf,2.0,1.0,4,False,0.0,0.1481481481481481
eczf1nt,1.5849625,0.0,3,False,0.0,0.1111111111111111
eczf1y3,1.0,0.0,2,False,0.0,0.074074074074074
eczf223,1.0,0.0,2,False,0.0,0.074074074074074
eczf23k,1.0,0.0,2,False,0.0,0.074074074074074
eczf4ox,0.0,0.0,1,False,0.0,0.0
eczf5n9,0.0,0.0,1,False,0.0,0.037037037037037
eczf6bu,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczf8we,1.5849625,0.0,3,False,0.0,0.1111111111111111
eczfbhc,1.0,1.0,2,False,0.0,0.074074074074074
eczfbnc,0.0,0.0,0,False,0.0,0.0
eczfbty,2.0,0.0,4,False,0.0,0.1481481481481481
eczfdaa,0.0,0.0,1,False,0.0,0.037037037037037
eczfe7d,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczfe9l,1.0,1.0,2,False,0.0,0.074074074074074
eczfhoh,2.0,0.8112781,4,False,0.0,0.1481481481481481
eczflf4,2.0,1.5,4,False,0.0,0.1481481481481481
eczfoon,1.5849625,0.9182958,3,False,0.0,0.1111111111111111
eczfp6e,0.0,0.0,1,False,0.0,0.037037037037037
eczfq8h,1.0,0.0,2,False,0.0,0.037037037037037
eczfs6b,1.0,0.0,2,False,0.0,0.074074074074074
eczfslj,1.0,0.0,2,False,0.0,0.074074074074074
eczfugs,1.0,0.0,2,False,0.0,0.074074074074074
eczfwa0,1.0,0.0,2,False,0.0,0.074074074074074
