comment_id,annotator_disagreement_score
eew5j0j,0.1111111111111111
eemcysk,0.07407407407407407
ed2mah1,0.1111111111111111
eeibobj,0.07407407407407407
eda6yn6,0.0
eespn2i,0.037037037037037035
eczuekb,0.14814814814814814
ed5tx8y,0.18518518518518517
ef961hv,0.07407407407407407
edl7cr3,0.14814814814814814
ed9w1hm,0.1111111111111111
ee52cjs,0.037037037037037035
ef7tl7i,0.037037037037037035
ee9vw9t,0.18518518518518517
edsqvyx,0.0
ed13jls,0.1111111111111111
edhionw,0.1111111111111111
edkezap,0.1111111111111111
ed86cjz,0.1111111111111111
ed9b88y,0.14814814814814814
edf75do,0.037037037037037035
edj0qlw,0.14814814814814814
eexfd75,0.18518518518518517
ed8fx5a,0.14814814814814814
ee9jw7b,0.07407407407407407
eeb52e6,0.07407407407407407
edw0ceq,0.0
ee64ows,0.07407407407407407
edli9sc,0.07407407407407407
ee9zjio,0.1111111111111111
eda23xf,0.037037037037037035
edptmv5,0.037037037037037035
eerqrp7,0.1111111111111111
eeodlb2,0.037037037037037035
ed9gnqk,0.14814814814814814
edk0nru,0.0
ed1ag17,0.07407407407407407
eesj5ib,0.07407407407407407
ef73maf,0.1111111111111111
efdvxbg,0.07407407407407407
ef4lp09,0.0
ef0tnl6,0.14814814814814814
ee04wu6,0.1111111111111111
edm3k6w,0.07407407407407407
ee6lcw2,0.07407407407407407
eecpk36,0.07407407407407407
ed58r0k,0.07407407407407407
edo1hi2,0.0
ed4vaif,0.18518518518518517
ee5ede3,0.1111111111111111
eewq46z,0.1111111111111111
ef3u2gf,0.037037037037037035
eezx2qo,0.0
ed2yxih,0.07407407407407407
ee1pf1o,0.25925925925925924
effsj1p,0.07407407407407407
ed2kjxz,0.1111111111111111
ee1vqbb,0.18518518518518517
ef1jner,0.14814814814814814
ed7dq81,0.037037037037037035
edh5b7z,0.037037037037037035
ee55lt0,0.037037037037037035
ee0ai3t,0.14814814814814814
edlktcs,0.1111111111111111
edoch06,0.1111111111111111
ed80lzq,0.037037037037037035
edz3cr7,0.1111111111111111
edn6f3e,0.1111111111111111
eenwezk,0.1111111111111111
eda5hak,0.0
edifef4,0.1111111111111111
ed5gkhe,0.037037037037037035
edgaypf,0.1111111111111111
ees0ud4,0.07407407407407407
eepej91,0.037037037037037035
edulkmv,0.18518518518518517
ee5k10q,0.07407407407407407
edzy36r,0.14814814814814814
ef029jq,0.037037037037037035
ee3yul8,0.14814814814814814
edlsovm,0.037037037037037035
ee836nq,0.1111111111111111
eex74rj,0.037037037037037035
ed7oedr,0.07407407407407407
ef9puji,0.07407407407407407
eevt2yy,0.037037037037037035
edjloje,0.037037037037037035
edb267t,0.1111111111111111
ef93ffh,0.07407407407407407
eex6fko,0.037037037037037035
ed22sur,0.0
ee3ipn9,0.14814814814814814
ee6mb6z,0.1111111111111111
ef54dn8,0.2222222222222222
eehp16n,0.1111111111111111
edo5n5f,0.18518518518518517
eejfjoa,0.14814814814814814
eeqi8r7,0.14814814814814814
eczowjx,0.14814814814814814
edoa8hc,0.07407407407407407
ed74czc,0.14814814814814814
eelle2t,0.07407407407407407
ee3ckgv,0.07407407407407407
efdj121,0.0
efb2qpp,0.1111111111111111
ed7j682,0.14814814814814814
edenhhr,0.0
ef8s6ku,0.1111111111111111
ed2y7ow,0.037037037037037035
ee16q3k,0.07407407407407407
edm88de,0.037037037037037035
eepawzc,0.2222222222222222
eeljtyr,0.1111111111111111
ed1dg8n,0.0
edk0k2j,0.07407407407407407
edh9bsl,0.037037037037037035
edr3jdl,0.037037037037037035
ed7ukvg,0.07407407407407407
ef2t7v5,0.18518518518518517
eek6uzl,0.1111111111111111
ef9fyys,0.14814814814814814
edfpmva,0.0
ed1gxcf,0.1111111111111111
edv6zg7,0.07407407407407407
eczjfy0,0.07407407407407407
eec3kfa,0.18518518518518517
eeojcvk,0.07407407407407407
ed93o2e,0.1111111111111111
ef4abkg,0.1111111111111111
ef3uwi8,0.037037037037037035
eekd227,0.07407407407407407
ee6f3ip,0.037037037037037035
ed5c74n,0.037037037037037035
efa14tb,0.14814814814814814
edfr03d,0.14814814814814814
ef43tu2,0.07407407407407407
edf9ckc,0.0
eeaa4kh,0.14814814814814814
eer34h9,0.1111111111111111
eeyl9cr,0.037037037037037035
ed3gjwv,0.18518518518518517
edkb7em,0.1111111111111111
edmbu45,0.0
eeceseo,0.037037037037037035
eebqpmj,0.07407407407407407
eeffwuy,0.0
eenji2u,0.1111111111111111
edned0s,0.25925925925925924
ee22ejo,0.07407407407407407
ed8i1ws,0.0
eezjjxq,0.1111111111111111
ed5fkjx,0.07407407407407407
effxy6e,0.14814814814814814
eet8raz,0.1111111111111111
ee0rszt,0.037037037037037035
ed73m7e,0.07407407407407407
efh5ctb,0.1111111111111111
eeebytb,0.18518518518518517
eeuenby,0.07407407407407407
eeycgit,0.14814814814814814
edi1f92,0.037037037037037035
eepltiz,0.037037037037037035
eepbfcd,0.07407407407407407
edbdtxe,0.037037037037037035
edol72z,0.1111111111111111
ed386ft,0.037037037037037035
ee8jd5h,0.037037037037037035
edm1wb0,0.0
ee55r8y,0.0
edx1l7z,0.18518518518518517
eejmyk3,0.14814814814814814
edb8opj,0.07407407407407407
efbs9wp,0.2222222222222222
edcxqvm,0.037037037037037035
ed6vs5p,0.0
